CELL_ID,SUBCLASS
90,L6_CT
93,OPC
121,L23_IT
196,Oligodendrocytes
207,L23_IT
239,Astrocytes
308,L23_IT
420,Endothelial
505,Endothelial
566,L6_IT
610,L45_IT
635,L45_IT
680,Endothelial
750,Oligodendrocytes
842,Sst
873,Oligodendrocytes
888,L6_CT
978,L6_CT
1239,Astrocytes
1245,Vip
1269,L6_CT
1283,L56_NP
1318,Endothelial
1344,Endothelial
1426,PVM
1454,L23_IT
1493,L5_IT
1500,Oligodendrocytes
1508,OPC
1509,Oligodendrocytes
1601,Astrocytes
1694,Oligodendrocytes
1703,Oligodendrocytes
1730,Oligodendrocytes
1908,Oligodendrocytes
1957,L23_IT
2013,PVM
2014,L45_IT
2097,L5_IT
2114,L23_IT
2123,Endothelial
2134,L6_CT
2147,L5_IT
2150,L23_IT
2309,Pericytes
2343,L5_PT
2465,Endothelial
2601,L6_CT
2603,L45_IT
2621,L45_IT
2622,L6_IT
2643,Oligodendrocytes
2677,L5_IT
2735,L6_IT
2888,L56_NP
2905,Oligodendrocytes
2918,L23_IT
2921,L23_IT
2948,PVM
2974,Oligodendrocytes
3022,L5_IT
3035,L23_IT
3294,VLMC
3317,L6_CT
3453,L45_IT
3504,Astrocytes
3601,L45_IT
3631,L5_IT
3766,L23_IT
3865,Astrocytes
3895,Pericytes
4134,L6_CT
4148,Pvalb
4199,Endothelial
4291,Endothelial
4461,L6_CT
4472,L5_IT
4537,OPC
4592,Lamp5
4708,Astrocytes
4713,L6_CT
4714,L6_IT
4719,L5_IT
4763,L5_IT
4789,L45_IT
4873,L23_IT
4886,Pvalb
4930,L6_CT
4949,Astrocytes
4978,L23_IT
5017,L23_IT
5025,L45_IT
5075,L45_IT
5108,Oligodendrocytes
5128,L5_IT
5191,L45_IT
5212,L23_IT
5259,L23_IT
5314,L23_IT
5394,Astrocytes
5411,L23_IT
5521,PVM
5533,Microglia
5546,Endothelial
5588,Pericytes
5753,L23_IT
5892,Lamp5
5936,Endothelial
5948,Endothelial
5994,Endothelial
6013,L6_IT
6069,L6_IT
6072,L23_IT
6146,Endothelial
6265,L6_CT
6313,Astrocytes
6395,Sst
6466,L5_IT
6555,L45_IT
6593,Sst
6734,L45_IT
6813,L5_PT
6968,L23_IT
6974,L5_PT
6985,L45_IT
7111,L23_IT
7298,L5_IT
7306,Endothelial
7317,L6_IT
7397,Sst
7421,L6b
7473,Endothelial
7498,Endothelial
7523,PVM
7607,L23_IT
7749,L23_IT
7985,L6_CT
7996,L6_CT
8157,Oligodendrocytes
8191,Astrocytes
8221,L6_CT
8278,Oligodendrocytes
8328,L6_CT
8387,Sst
8391,L23_IT
8433,Oligodendrocytes
8508,L45_IT
8544,PVM
8579,Oligodendrocytes
8612,Astrocytes
8625,SMC
8643,L45_IT
8754,L6_CT
8818,L23_IT
8862,Oligodendrocytes
8874,L5_PT
8879,L5_IT
8884,Pvalb
8896,Astrocytes
