CELL_ID,SUBCLASS
21,Endothelial
60,L45_IT
355,VLMC
377,L23_IT
378,Astrocytes
413,L23_IT
436,Astrocytes
448,Endothelial
532,L56_NP
779,L5_IT
1002,L23_IT
1207,L23_IT
1486,Astrocytes
1683,L23_IT
1713,PVM
1722,VLMC
1932,L5_IT
1961,L6_CT
2154,L23_IT
2190,L5_IT
2264,Pvalb
2411,Astrocytes
2437,L5_IT
2477,L5_IT
2739,Sst
2861,L45_IT
2901,Microglia
2928,L23_IT
3138,L6_CT
3141,Astrocytes
3203,Astrocytes
3331,Microglia
3573,Vip
3667,L45_IT
3674,L23_IT
3942,L23_IT
3998,Pericytes
4052,Vip
4267,L5_PT
4317,L23_IT
4435,Astrocytes
4618,OPC
4772,Astrocytes
4923,Oligodendrocytes
5117,L23_IT
5243,VLMC
5316,L23_IT
5596,VLMC
5653,Astrocytes
5665,L45_IT
5709,Endothelial
5749,L5_IT
5754,L23_IT
5820,L6_IT
6151,L23_IT
6439,L45_IT
6460,PVM
6550,Microglia
6614,L23_IT
6660,Pericytes
6707,Pvalb
6761,L23_IT
6801,Astrocytes
6848,L23_IT
6913,L23_IT
6915,Pericytes
7038,Astrocytes
7126,L5_IT
7309,Endothelial
7454,Pericytes
7587,PVM
7728,Astrocytes
7822,VLMC
7829,Endothelial
8032,L23_IT
8065,L45_IT
8146,Pvalb
8166,L23_IT
8231,L5_IT
8357,L6b
8372,Endothelial
8513,VLMC
8582,L6_CT
8679,L23_IT
8759,Endothelial
8804,Oligodendrocytes
8864,L5_IT
8901,L45_IT
9005,Endothelial
9178,VLMC
9246,L5_IT
9283,Sst
9335,Astrocytes
9426,L23_IT
9435,L45_IT
9512,L5_IT
9530,L56_NP
9631,L23_IT
9772,Endothelial
9827,L23_IT
9940,Astrocytes
10116,L45_IT
10221,Microglia
10222,L23_IT
10392,L6_CT
10533,Pericytes
10593,L45_IT
10648,L23_IT
10684,L23_IT
10757,Astrocytes
11061,L45_IT
11166,Sncg
11392,Pericytes
11583,Astrocytes
11644,OPC
11649,L23_IT
11966,L5_IT
12085,PVM
12160,L6_IT
12203,L6_CT
12566,L5_PT
12756,L45_IT
12824,Lamp5
12877,L6_CT
13467,L23_IT
13543,L23_IT
13611,Oligodendrocytes
13625,Pvalb
13633,L23_IT
13658,Astrocytes
13723,L5_IT
14042,SMC
14051,L5_IT
14125,Astrocytes
14259,L23_IT
14260,Microglia
14262,VLMC
14310,L23_IT
14827,Astrocytes
15035,L23_IT
15052,Pericytes
15233,L23_IT
15598,L5_IT
15940,L23_IT
15964,L6_CT
16087,L6_CT
16203,Oligodendrocytes
16232,L23_IT
16281,Sst
16315,L23_IT
16409,VLMC
16545,SMC
16547,Astrocytes
16561,L45_IT
16570,L45_IT
16573,L5_PT
16579,Astrocytes
16796,L23_IT
16988,OPC
17059,L45_IT
17263,Endothelial
17405,Lamp5
17584,L5_IT
17624,L23_IT
17715,L5_IT
17836,PVM
17926,L23_IT
17970,L23_IT
18061,L23_IT
18091,Sst
18223,L23_IT
18349,VLMC
18402,Pvalb
18719,L45_IT
18732,L6_CT
18835,L45_IT
18876,L5_IT
18954,Microglia
19382,Pericytes
19432,L23_IT
19547,Lamp5
19676,Endothelial
19745,L6_CT
19794,L5_PT
19831,Microglia
20340,Oligodendrocytes
20455,L6_IT
20503,Oligodendrocytes
20749,L6_CT
20784,L23_IT
20853,VLMC
21050,Endothelial
21454,Sst
21508,Astrocytes
21773,L6_IT
21944,Pericytes
22021,VLMC
22053,L45_IT
22120,Vip
22211,VLMC
22279,L5_IT
22280,L23_IT
22331,L45_IT
22338,Oligodendrocytes
22390,L5_IT
22477,L23_IT
22734,VLMC
22759,Microglia
22910,L23_IT
22972,L23_IT
23186,L6_CT
23435,L5_IT
23448,L6_IT
23647,L45_IT
23704,Pericytes
24050,L6_CT
24073,L45_IT
24340,SMC
